"Date","Price","Open","High","Low","Vol.","Change %"
"07/05/2025","5,631.28","5,614.18","5,654.73","5,578.64","","0.43%"
"06/05/2025","5,606.91","5,605.87","5,649.58","5,586.04","","-0.77%"
"05/05/2025","5,650.38","5,655.32","5,683.38","5,634.48","","-0.64%"
"02/05/2025","5,686.67","5,645.88","5,700.70","5,642.28","","1.47%"
"01/05/2025","5,604.14","5,625.14","5,658.91","5,597.35","","0.63%"
"30/04/2025","5,569.06","5,499.44","5,581.84","5,433.24","","0.15%"
"29/04/2025","5,560.83","5,508.87","5,571.95","5,505.70","","0.58%"
"28/04/2025","5,528.75","5,529.22","5,553.66","5,468.64","","0.06%"
"25/04/2025","5,525.21","5,489.73","5,528.11","5,455.86","","0.74%"
"24/04/2025","5,484.77","5,381.38","5,489.40","5,371.96","","2.03%"
"23/04/2025","5,375.86","5,395.92","5,469.69","5,356.17","","1.67%"
"22/04/2025","5,287.76","5,207.67","5,309.61","5,207.67","","2.51%"
"21/04/2025","5,158.20","5,232.94","5,232.94","5,101.63","","-2.36%"
"17/04/2025","5,282.70","5,305.45","5,328.31","5,255.58","","0.13%"
"16/04/2025","5,275.70","5,335.75","5,367.24","5,220.79","","-2.24%"
"15/04/2025","5,396.63","5,411.99","5,450.41","5,386.44","","-0.17%"
"14/04/2025","5,405.97","5,441.96","5,459.46","5,358.02","","0.79%"
"11/04/2025","5,363.36","5,255.56","5,381.46","5,220.77","","1.81%"
"10/04/2025","5,268.05","5,353.15","5,353.15","5,115.27","","-3.46%"
"09/04/2025","5,456.90","4,965.28","5,481.34","4,948.43","","9.52%"
"08/04/2025","4,982.77","5,193.57","5,267.47","4,910.42","","-1.57%"
"07/04/2025","5,062.25","4,953.79","5,246.57","4,835.04","","-0.23%"
"04/04/2025","5,074.08","5,292.14","5,292.14","5,069.90","","-5.97%"
"03/04/2025","5,396.52","5,492.74","5,499.53","5,390.83","","-4.84%"
"02/04/2025","5,670.97","5,580.76","5,695.31","5,571.48","","0.67%"
"01/04/2025","5,633.07","5,597.53","5,650.57","5,558.52","","0.38%"
